GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
POS,com.project.controller,BrandController,35,0,0,0,11,0,5,0,5,0
POS,com.project.controller,OrderController,94,0,0,0,25,0,10,0,10,0
POS,com.project.controller,AbstractUIController,16,0,0,0,4,0,2,0,2,0
POS,com.project.controller,InventoryController,54,0,0,0,15,0,6,0,6,0
POS,com.project.controller,UIController,27,0,0,0,7,0,7,0,7,0
POS,com.project.controller,InvoiceController,35,0,0,0,9,0,3,0,3,0
POS,com.project.controller,ProductController,74,0,0,0,17,0,6,0,6,0
POS,com.project.controller,ReportController,58,0,0,0,15,0,5,0,5,0
POS,com.project.model,BrandXmlList,10,0,0,0,4,0,3,0,3,0
POS,com.project.model,InventoryData,17,0,0,0,7,0,5,0,5,0
POS,com.project.model,ReportFilter,31,0,0,0,13,0,9,0,9,0
POS,com.project.model,ProductData,3,14,0,0,1,6,1,4,1,4
POS,com.project.model,InventoryForm,3,14,0,0,1,6,1,4,1,4
POS,com.project.model,SaleReportData,12,19,0,0,4,9,4,5,4,5
POS,com.project.model,Message,10,0,0,0,4,0,3,0,3,0
POS,com.project.model,SaleXmlList,0,10,0,0,0,4,0,3,0,3
POS,com.project.model,OrderData,17,0,0,0,7,0,5,0,5,0
POS,com.project.model,OrderInvoiceData,31,0,0,0,13,0,9,0,9,0
POS,com.project.model,InventoryReportData,9,15,0,0,3,7,3,4,3,4
POS,com.project.model,BrandForm,0,17,0,0,0,7,0,5,0,5
POS,com.project.model,OrderItemForm,0,17,0,0,0,7,0,5,0,5
POS,com.project.model,BrandData,3,7,0,0,1,3,1,2,1,2
POS,com.project.model,InventoryXmlList,0,10,0,0,0,4,0,3,0,3
POS,com.project.model,OrderInvoiceXmlList,31,0,0,0,13,0,9,0,9,0
POS,com.project.model,ProductForm,0,31,0,0,0,13,0,9,0,9
POS,com.project.model,OrderItemData,31,0,0,0,13,0,9,0,9,0
POS,com.project.dao,OrderItemDao,59,0,0,0,15,0,8,0,8,0
POS,com.project.dao,InventoryDao,99,0,0,0,25,0,10,0,10,0
POS,com.project.dao,BrandDao,87,0,0,0,23,0,9,0,9,0
POS,com.project.dao,ProductDao,101,0,2,0,28,0,10,0,9,0
POS,com.project.dao,OrderDao,50,0,0,0,12,0,7,0,7,0
POS,com.project.pojo,OrderItemPojo,20,29,0,0,5,13,5,8,5,8
POS,com.project.pojo,InventoryPojo,10,18,0,0,3,8,3,5,3,5
POS,com.project.pojo,OrderPojo,6,11,0,0,2,5,2,3,2,3
POS,com.project.pojo,BrandCategoryPojo,0,24,0,0,0,10,0,7,0,7
POS,com.project.pojo,ProductPojo,0,38,0,0,0,16,0,11,0,11
POS,com.project.utilities,BarcodeUtil,34,0,2,0,7,0,4,0,3,0
POS,com.project.utilities,DataConversionUtil,273,264,15,5,62,57,19,10,11,8
POS,com.project.utilities,PdfConversionUtil,69,0,0,0,18,0,3,0,3,0
POS,com.project.spring,ControllerConfig,116,0,0,0,27,0,8,0,8,0
POS,com.project.spring,SpringSecurityInitializer,3,0,0,0,1,0,1,0,1,0
POS,com.project.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
POS,com.project.spring,SecurityConfig,43,0,0,0,6,0,4,0,4,0
POS,com.project.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
POS,com.project.spring,DBConfig,108,0,0,0,28,0,4,0,4,0
POS,com.project.service,ProductService,184,0,10,0,44,0,17,0,12,0
POS,com.project.service,BrandService,144,0,10,0,34,0,14,0,9,0
POS,com.project.service,InventoryService,123,0,10,0,32,0,15,0,10,0
POS,com.project.service,OrderService,334,0,20,0,75,0,24,0,14,0
POS,com.project.service,ReportService,369,0,30,0,69,0,30,0,15,0
POS,com.project.service,ApiException,4,0,0,0,2,0,1,0,1,0
